result_type,rows,results,spend_ngn,impressions,sum_campaign_reach_not_unique,weighted_cost_per_result_ngn,derived_result_rate_pct,derived_cpm_ngn,impressions_per_summed_reach
3-second video plays,1,3233.0,452.24,12144,12144,0.13988246210949581,26.622200263504613,37.23978919631094,1.0
Facebook likes,2,3977.0,73259.03,39504,25494,18.420676389238118,10.067334953422439,1854.4711927906035,1.5495410684867028
Leads (form),1,1.0,1009.17,1345,1253,1009.17,0.07434944237918216,750.3122676579925,1.0734237829209896
Link clicks,106,635240.0,907409.25,9725211,8073807,1.4284510578678924,6.531889128163904,93.30483935001513,1.204538453792616
Messaging conversations started,2,86.0,10769.04,3990,3394,125.22139534883722,2.155388471177945,2699.007518796993,1.1756040070713023
Post engagements,4,12859.0,15606.98,84621,71593,1.2137009098685745,15.195991538743339,184.43388756927948,1.1819730979285685
ThruPlay,6,58112.0,20596.01,465619,442747,0.3544192249449339,12.48059035391597,44.23361160090116,1.0516592997806873
